
2026-07-27 11:00:21 | ACTION=DELETE_PART | ITEM=poo1 | QUANTITY=67
2026-07-27 12:15:45 | ACTION=ADD_PART | ITEM=77 | QUANTITY=8
2026-07-27 12:19:24 | ACTION=ADD_PART | ITEM=22 | QUANTITY=22
2026-07-27 12:22:54 | ACTION=DELETE_PART | ITEM=77 | QUANTITY=8
2026-07-27 12:23:02 | ACTION=DELETE_PART | ITEM=22 | QUANTITY=22
2026-07-27 18:53:42 | ACTION=ADD_PART | ITEM=P001 | QUANTITY=8
2026-07-27 19:15:06 | ACTION=DELETE_PART | ITEM=P001 | QUANTITY=8
2026-07-27 19:16:30 | ACTION=ADD_PART | ITEM=P001 | QUANTITY=8
2026-07-27 22:58:24 | ACTION=ADD_PART | ITEM=112 | QUANTITY=22
2026-07-27 22:58:30 | ACTION=DELETE_PART | ITEM=112 | QUANTITY=22
2026-07-28 12:06:13 | ACTION=CHECKOUT | ITEM=P004 | QUANTITY=2
2026-07-28 12:06:13 | ACTION=CHECKOUT | ITEM=P005 | QUANTITY=3
2026-07-28 12:06:48 | ACTION=UPDATE_PART | ITEM=P004 | QUANTITY=13
2026-07-28 12:07:23 | ACTION=CHECKOUT | ITEM=P004 | QUANTITY=12
2026-07-28 12:07:58 | ACTION=UPDATE_PART | ITEM=P004 | QUANTITY=1
